oldindex,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,fall
56,-1.1223021582733814,1.3669064748201447,-0.4316546762589928,-0.021299254526091493,0.11608093716719914,-0.08519701810436636,0.0
57,-0.9616306954436449,1.1894484412470028,-0.17745803357314216,-0.029818956336528313,0.11927582534611303,-0.03833865814696491,0.0
58,-0.8393285371702639,0.60431654676259,0.5779376498800959,-0.03088391906283272,0.11075612353567621,0.008519701810436708,0.0
59,-0.5155875299760192,0.014388489208633004,0.6330935251798566,-0.04472843450479247,0.050053248136315176,0.023429179978700754,0.0
60,-0.9376498800959232,0.016786570743405393,0.6762589928057552,-0.07774227902023423,0.0,0.007454739084132078,0.0
61,-0.7338129496402878,0.3693045563549162,0.3525179856115108,-0.10330138445154446,-0.04579339723109688,-0.00425985090521841,0.0
62,-0.42206235011990434,0.7410071942446042,0.3764988009592325,-0.11501597444089429,-0.06602768903088418,-0.005324813631522818,0.0
63,0.587529976019185,0.5731414868105515,0.22541966426858506,-0.12140575079872207,-0.09904153354632572,0.03620873269435565,0.0
64,1.0263788968824938,-0.14628297362110312,0.27338129496402885,-0.13205537806176781,-0.13418530351437696,0.06922257720979769,0.0
65,0.8129496402877698,-0.36450839328537166,-0.8729016786570742,-0.14909478168264112,-0.18956336528221507,0.04366347177848773,0.0
66,0.2086330935251799,0.2541966426858513,-1.4604316546762588,-0.16826411075612357,-0.17997870074547384,0.004259850905218299,0.0
67,-0.460431654676259,0.7889688249400479,-0.985611510791367,-0.17252396166134182,-0.12886048988285415,0.024494142705005384,0.0
68,0.22062350119904073,0.7218225419664268,-1.218225419664269,-0.16719914802981903,-0.12034078807241755,0.07348242811501599,0.0
69,0.14388489208633104,0.8465227817745802,-0.5251798561151073,-0.1522896698615548,-0.08732694355697546,0.0851970181043663,0.0
70,-0.27338129496402885,0.8465227817745804,-0.3573141486810547,-0.12673056443024489,-0.09691160809371668,0.10862619808306712,0.0
