cts,date,Gyroscope [rad/s],1,2,temperature [°C]
85498.77065326666,2024-03-16T10:11:17.603Z,2.1959531416400426,0.12247071352502663,0.7294994675186368,19.908203125
85503.79737688476,2024-03-16T10:11:17.608Z,2.186368477103301,0.0926517571884984,0.739084132055378,19.908203125
85508.82410050285,2024-03-16T10:11:17.613Z,2.1725239616613417,0.059637912673056445,0.744408945686901,19.908203125
85513.85082412095,2024-03-16T10:11:17.618Z,2.1533546325878596,0.01810436634717785,0.7465388711395101,19.908203125
85518.87754773904,2024-03-16T10:11:17.623Z,2.1277955271565494,-0.025559105431309903,0.7433439829605963,19.908203125
85523.90427135714,2024-03-16T10:11:17.628Z,2.093716719914803,-0.0670926517571885,0.7412140575079872,19.908203125
85528.93099497524,2024-03-16T10:11:17.633Z,2.0489882854100108,-0.10117145899893504,0.7337593184238551,19.908203125
85533.95771859333,2024-03-16T10:11:17.638Z,2,-0.11501597444089456,0.7252396166134185,19.908203125
85538.98444221143,2024-03-16T10:11:17.643Z,1.9414270500532482,-0.10543130990415335,0.7124600638977636,19.908203125
85544.01116582952,2024-03-16T10:11:17.648Z,1.878594249201278,-0.06389776357827476,0.6869009584664537,19.908203125
85549.03788944762,2024-03-16T10:11:17.652Z,1.8029818956336527,0.007454739084132056,0.6528221512247071,19.908203125
85554.06461306571,2024-03-16T10:11:17.657Z,1.7209797657082002,0.0979765708200213,0.6187433439829606,19.908203125
85559.0913366838,2024-03-16T10:11:17.662Z,1.6336528221512248,0.20021299254526093,0.5835995740149095,19.908203125
85564.1180603019,2024-03-16T10:11:17.667Z,1.5388711395101171,0.3035143769968051,0.5537806176783813,19.908203125
85569.14478392,2024-03-16T10:11:17.672Z,1.4366347177848775,0.402555910543131,0.531416400425985,19.908203125
85574.17150753809,2024-03-16T10:11:17.677Z,1.3322683706070289,0.4941427050053248,0.516506922257721,19.908203125
85579.19823115619,2024-03-16T10:11:17.682Z,1.2289669861554846,0.5729499467518637,0.5047923322683706,19.908203125
85584.22495477428,2024-03-16T10:11:17.687Z,1.134185303514377,0.6272630457933972,0.5079872204472844,19.908203125
85589.25167839238,2024-03-16T10:11:17.692Z,1.0457933972310969,0.6517571884984026,0.5228966986155484,19.908203125
85594.27840201047,2024-03-16T10:11:17.697Z,0.966986155484558,0.650692225772098,0.5484558040468583,19.908203125
85599.30512562857,2024-03-16T10:11:17.702Z,0.8966986155484558,0.630457933972311,0.5899893503727369,19.908203125
85604.33184924666,2024-03-16T10:11:17.707Z,0.8370607028753994,0.5889243876464324,0.6389776357827476,19.908203125
85609.35857286476,2024-03-16T10:11:17.712Z,0.7870074547390842,0.5282215122470714,0.6932907348242812,19.908203125
85614.38529648285,2024-03-16T10:11:17.717Z,0.744408945686901,0.4579339723109691,0.7529286474973376,19.908203125
85619.41202010095,2024-03-16T10:11:17.722Z,0.711395101171459,0.3855165069222577,0.8104366347177849,19.908203125
85624.43874371905,2024-03-16T10:11:17.727Z,0.6858359957401491,0.3152289669861555,0.8615548455804047,19.908203125
85629.46546733714,2024-03-16T10:11:17.732Z,0.6645367412140575,0.2534611288604899,0.8966986155484558,19.908203125
85634.49219095524,2024-03-16T10:11:17.737Z,0.6485623003194888,0.20234291799787008,0.9222577209797657,19.908203125
85639.51891457333,2024-03-16T10:11:17.742Z,0.6347177848775293,0.15867944621938232,0.9329073482428115,19.908203125
85644.54563819143,2024-03-16T10:11:17.747Z,0.6208732694355698,0.12034078807241747,0.9361022364217252,19.908203125
85649.57236180952,2024-03-16T10:11:17.752Z,0.6112886048988285,0.08519701810436635,0.9307774227902024,19.908203125
85654.59908542762,2024-03-16T10:11:17.757Z,0.6006389776357828,0.04472843450479233,0.9243876464323749,19.908203125
85659.62580904571,2024-03-16T10:11:17.762Z,0.5963791267305645,0,0.9148029818956337,19.908203125
85664.65253266381,2024-03-16T10:11:17.767Z,0.5953141640042598,-0.051118210862619806,0.9052183173588925,19.908203125
85669.6792562819,2024-03-16T10:11:17.772Z,0.6017039403620873,-0.11288604898828541,0.8903088391906283,19.908203125
85674.7059799,2024-03-16T10:11:17.777Z,0.6123535676251332,-0.18636847710330137,0.8753993610223643,19.908203125
85679.7327035181,2024-03-16T10:11:17.782Z,0.6261980830670927,-0.26198083067092653,0.858359957401491,19.908203125
85684.75942713619,2024-03-16T10:11:17.787Z,0.6421725239616614,-0.32800851970181044,0.8359957401490948,19.908203125
85689.78615075428,2024-03-16T10:11:17.792Z,0.6592119275825347,-0.38338658146964855,0.8072417465388712,19.908203125
85694.81287437238,2024-03-16T10:11:17.797Z,0.6751863684771033,-0.43024494142705005,0.7731629392971247,19.908203125
85699.83959799047,2024-03-16T10:11:17.802Z,0.691160809371672,-0.46645367412140576,0.731629392971246,19.908203125
85704.86632160857,2024-03-16T10:11:17.807Z,0.7018104366347178,-0.48242811501597443,0.6975505857294995,19.908203125
