cts,date,Accelerometer [m/s2],acc1,acc2,temperature [°C]
79356.0927035178,2024-03-16T10:11:11.468Z,4.4412470023980815,-1.5203836930455636,11.772182254196643,19.546875
79361.1193869349,2024-03-16T10:11:11.473Z,4.3621103117506,-1.13189448441247,11.573141486810552,19.546875
79366.14607035198,2024-03-16T10:11:11.478Z,4.323741007194244,-0.762589928057554,11.357314148681056,19.546875
79371.17275376907,2024-03-16T10:11:11.483Z,4.299760191846523,-0.6187050359712231,11.148681055155876,19.546875
79376.19943718617,2024-03-16T10:11:11.488Z,4.244604316546763,-0.4844124700239808,10.863309352517986,19.546875
79381.22612060326,2024-03-16T10:11:11.493Z,4.256594724220624,-0.4244604316546763,10.575539568345324,19.546875
79386.25280402035,2024-03-16T10:11:11.498Z,4.28537170263789,-0.41007194244604317,10.302158273381295,19.546875
79391.27948743744,2024-03-16T10:11:11.503Z,4.266187050359712,-0.4892086330935252,10.062350119904076,19.546875
79396.30617085453,2024-03-16T10:11:11.508Z,4.3117505995203835,-0.6258992805755396,9.839328537170264,19.546875
79401.33285427162,2024-03-16T10:11:11.513Z,4.342925659472422,-0.8177458033573142,9.633093525179856,19.546875
79406.35953768871,2024-03-16T10:11:11.518Z,4.321342925659472,-1.0743405275779376,9.470023980815348,19.546875
79411.3862211058,2024-03-16T10:11:11.523Z,4.26378896882494,-1.381294964028777,9.357314148681056,19.546875
79416.41290452289,2024-03-16T10:11:11.528Z,4.2541966426858515,-1.6378896882494005,9.247002398081534,19.546875
79421.43958793998,2024-03-16T10:11:11.533Z,4.244604316546763,-1.8057553956834533,9.091127098321342,19.546875
79426.46627135707,2024-03-16T10:11:11.538Z,4.323741007194244,-1.8896882494004796,8.920863309352518,19.546875
79431.49295477416,2024-03-16T10:11:11.543Z,4.366906474820144,-1.9376498800959232,8.76978417266187,19.546875
79436.51963819125,2024-03-16T10:11:11.548Z,4.350119904076738,-1.9976019184652278,8.594724220623501,19.546875
79441.54632160834,2024-03-16T10:11:11.553Z,4.398081534772182,-2.0407673860911273,8.388489208633093,19.546875
79446.57300502544,2024-03-16T10:11:11.558Z,4.611510791366906,-2.052757793764988,8.148681055155876,19.546875
79451.59968844253,2024-03-16T10:11:11.563Z,4.916067146282973,-2.047961630695444,7.762589928057554,19.546875
79456.62637185962,2024-03-16T10:11:11.568Z,5.179856115107913,-2.050359712230216,7.4124700239808154,19.546875
79461.6530552767,2024-03-16T10:11:11.573Z,5.474820143884892,-2.0839328537170263,7.112709832134293,19.546875
79466.6797386938,2024-03-16T10:11:11.578Z,5.6882494004796165,-2.0863309352517985,6.7170263788968825,19.546875
79471.70642211089,2024-03-16T10:11:11.583Z,5.729016786570743,-2.095923261390887,6.242206235011991,19.546875
79476.73310552798,2024-03-16T10:11:11.588Z,5.635491606714628,-2.0431654676258995,5.776978417266187,19.546875
79481.75978894507,2024-03-16T10:11:11.593Z,5.522781774580336,-1.8465227817745804,5.294964028776978,19.546875
79486.78647236216,2024-03-16T10:11:11.598Z,5.376498800959233,-1.73621103117506,4.73621103117506,19.546875
79491.81315577925,2024-03-16T10:11:11.603Z,5.532374100719425,-2.093525179856115,4.227817745803358,19.546875
79496.83983919634,2024-03-16T10:11:11.608Z,5.359712230215828,-1.839328537170264,3.7434052757793763,19.546875
79501.86652261343,2024-03-16T10:11:11.613Z,5.299760191846523,-1.8441247002398082,3.3741007194244603,19.546875
